,HR,O2Sat,Temp,SBP,MAP,DBP,Resp,EtCO2,BaseExcess,HCO3,FiO2,pH,PaCO2,SaO2,AST,BUN,Alkalinephos,Calcium,Chloride,Creatinine,Bilirubin_direct,Glucose,Lactate,Magnesium,Phosphate,Potassium,Bilirubin_total,TroponinI,Hct,Hgb,PTT,WBC,Fibrinogen,Platelets
FiO2,0.003951046687022207,-0.0007180202779460543,-0.005342979791888394,-0.004606036708247986,-0.004029730302047458,-0.00293345178149908,-0.00010404605885637005,-0.05934495971339362,-0.13070762549547746,-0.08303534981934448,1.0,-0.004230181931805054,-0.0013188763673890674,0.0009020534066728155,0.05593011884288262,-0.07073747533697229,-0.028807403995874545,-0.007358510987287104,0.08340295771415107,-0.047917656537912204,-0.030520130382942674,0.004931609797574879,0.0056135614518897075,-0.007035870893941906,0.12161907225402224,-0.006910513384363414,-0.028165135102079346,0.12114261540298293,0.020233879771810615,0.007899329004877047,0.06808130687974547,0.10199899070461022,-0.13852535628797738,-0.05647383759403682
pH,-0.09981588465046853,0.11334581457747718,0.20564336187170595,0.12264758338127266,0.0943695720848945,0.06446557160036191,0.008306802981313272,-0.04790608176170273,0.6506212227762282,0.40075484181092613,-0.004230181931805054,1.0,-0.4368617715156657,0.09702701022852984,-0.02371094318735841,-0.14975989410676294,-0.034418609433296346,0.08168362942166846,-0.15458694770490483,-0.17375115820499942,0.09021846716651169,-0.1712381277524996,-0.3697644478100154,-0.018696134636391238,-0.39579846640942384,-0.2724700987297672,0.08126402685773186,-0.00741625085349839,-0.0848236104090648,-0.03998123147630505,-0.20133916327968945,-0.1457879806337525,0.13513531444331023,0.015372391122401281
PaCO2,0.025315555990028514,-0.1181990725609211,-0.044499094199512555,0.010828418235871256,0.0009041174459666373,0.0008587301196608942,-0.031278005349993324,0.4304140571553669,0.35254481391843,0.5386531055526763,-0.0013188763673890674,-0.4368617715156657,1.0,-0.12147629654003793,-0.0717386595709752,-0.038348727594059204,-0.08643513020984056,0.07862362253637348,-0.2045781616741029,-0.0780451264750243,0.00463467670891739,0.0023238853758040775,-0.10349625176689085,0.006347591491436263,0.09620516196336239,0.08570559943903588,-0.06978841954105762,-0.06542463565671328,0.057234713531430614,0.033587439695734626,-0.03516332492825535,-0.0016280753916369797,0.00909041619806671,0.08201078622879111
SaO2,-0.010730960178901253,0.10322452995293992,-0.009446260446339528,0.10600154496595215,0.09012224868503979,0.06466164493848807,-0.02356172838975711,0.05673890433714929,0.04430244344520817,0.007461740137365107,0.0009020534066728155,0.09702701022852984,-0.12147629654003793,1.0,0.01371777783729167,-0.017824429250456672,0.006917169809839829,-0.27722406525575477,-0.015071871513915232,0.02957287220274521,-0.1352814417176468,0.039501533081129594,-0.03848069700512182,-0.03687318384919441,-0.04389237128566179,-0.02572596660878943,0.04928462267488853,-0.05257526098142681,-0.05177675447094049,-0.052713613526454414,-0.08996884584173447,-0.03944394172046398,0.013542113156658729,-0.009540011354338507
AST,0.057342125889287526,-0.015069040439656593,-0.005761675902638538,-0.0008877441275018767,0.009768563328894218,0.00892732161928494,0.024280062401561206,-0.16848689187568194,-0.02966435421428865,-0.10226981166461958,0.05593011884288262,-0.02371094318735841,-0.0717386595709752,0.01371777783729167,1.0,0.038319213705499046,0.09416587241647517,-0.04130692844155656,-0.0777937198234992,0.039715737989658086,0.14308641943663952,0.036869846111906954,0.31187006529604555,0.02582765835597487,0.14890902626275812,0.06405923106631688,0.17755950921416874,0.11977805678142744,-0.030908416943535227,0.0056610672585904265,0.07748129165458334,0.02542419859485752,-0.20160465191662885,-0.14599991491851702
BUN,-0.02659960663827812,-0.04502696675055572,-0.11775899037413277,0.004796300925950464,-0.04640054301378065,-0.043594753267714434,0.06976665691571712,-0.03884601507642824,-0.1934189309471454,-0.1724934918898239,-0.07073747533697229,-0.14975989410676294,-0.038348727594059204,-0.017824429250456672,0.038319213705499046,1.0,0.11694105142152639,0.06568339942232827,-0.129331910587354,0.623933693312599,0.23423801747529047,0.08704682860377476,0.04038713896898012,0.22540776970422255,0.5341148043948485,0.2609171961540052,0.15318883230653355,-0.024079075505129496,-0.1402679854091704,-0.1654984243815604,0.07901849627389183,0.023408789419425955,0.077448063778425,-0.06768974771027554
Alkalinephos,0.05213628017429446,-0.019154863717525162,-0.03724190074859336,-0.02919150387098485,-0.019275696664840775,4.09029091512631e-05,0.06598968669853829,-0.07619530908195728,-0.09741336623077862,-0.08854999062360895,-0.028807403995874545,-0.034418609433296346,-0.08643513020984056,0.006917169809839829,0.09416587241647517,0.11694105142152639,1.0,-0.006432909723949687,-0.13176553854526546,0.0636541414840174,0.13991900376046426,-0.011356232995796417,0.1264480603660943,0.017070881365329072,0.08433946305966981,0.05162116096021422,0.1786600623307138,-0.055504096159616205,-0.06838074839701686,-0.08430628178874468,0.00041460614992878844,0.07056590026327027,0.08925927207940755,0.06965253226904865
Calcium,-0.0961235700773144,-0.0394676518798183,0.010313006058959476,0.0443299992866224,0.03260639422972666,0.06714382964324102,0.012642183205089098,0.0916358630007933,0.19982919585774023,0.23430341087247059,-0.007358510987287104,0.08168362942166846,0.07862362253637348,-0.27722406525575477,-0.04130692844155656,0.06568339942232827,-0.006432909723949687,1.0,-0.11979439709194986,0.05032055693467911,0.05831014419833318,-0.03300096820563349,-0.03233816131134545,0.06278228922370807,0.07900459711608235,-0.036385591977860544,0.06105397871646359,-0.007545804184236688,0.21652057782264963,0.20158872666134756,-0.020751804867398763,-0.06725186189167456,0.07280695856529702,0.11351301482617672
Chloride,0.013944047734098517,0.1591856998234358,-0.04417769594370772,-0.038787692996811646,-0.0038503226751594186,-0.0014194448626566856,-0.07986596052531687,-0.04167440524635911,-0.31416036202156994,-0.38476757753581375,0.08340295771415107,-0.15458694770490483,-0.2045781616741029,-0.015071871513915232,-0.0777937198234992,-0.129331910587354,-0.13176553854526546,-0.11979439709194986,1.0,-0.1929405758940615,-0.16125964262013373,-0.09150819006008254,-0.019519959360177714,-0.024386354751214312,-0.21934859684246596,-0.036396940320115596,-0.13784870543796823,0.06346955046361473,-0.07951206658505483,-0.059902409818135986,-0.027302965715395717,0.015001331881727146,-0.12769104552120084,-0.148254428668144
Creatinine,-0.018582918187388556,-0.013802753380927568,-0.08349331091810139,0.07870619429379343,0.06376129415230876,0.05883732241393715,0.022274734497420227,-0.062286773107306105,-0.23537433110642722,-0.18720940438917724,-0.047917656537912204,-0.17375115820499942,-0.0780451264750243,0.02957287220274521,0.039715737989658086,0.623933693312599,0.0636541414840174,0.05032055693467911,-0.1929405758940615,1.0,0.026513538466058823,0.014030154502747298,0.11315833218411676,0.11803978209801046,0.5486153292507021,0.2677029732110247,0.04011870868340161,-0.036462847035999835,-0.10064873265034817,-0.13418157162713001,0.07271964756728355,-0.03530471417361241,0.06970195098366042,-0.04988198947235272
Bilirubin_direct,0.029377072673561416,0.0008181914673360418,-0.026787547335973428,-0.04687954326234192,-0.05875381332097664,-0.0411441973766799,-0.010113642132992423,-0.11739154173656133,0.015443944358907733,-0.07298649405978289,-0.030520130382942674,0.09021846716651169,0.00463467670891739,-0.1352814417176468,0.14308641943663952,0.23423801747529047,0.13991900376046426,0.05831014419833318,-0.16125964262013373,0.026513538466058823,1.0,0.027692901989372517,-0.006510024070482859,0.10393007397018032,0.14870131935799033,0.06756191575153288,0.9639869113540409,0.03643055891068711,-0.15168401992993186,-0.0694225506383015,0.114510858081169,0.010572570272384898,-0.18282985179393033,-0.23365522271307249
Glucose,0.08363849733173205,-0.027913919165304984,-0.07115252549512117,0.04627650755211764,0.043359840152395655,0.04180682201107391,0.0370864268135913,-0.007378143577834825,-0.16415846035513101,-0.12544320570656836,0.004931609797574879,-0.1712381277524996,0.0023238853758040775,0.039501533081129594,0.036869846111906954,0.08704682860377476,-0.011356232995796417,-0.03300096820563349,-0.09150819006008254,0.014030154502747298,0.027692901989372517,1.0,0.2534033932843823,-0.00461756542473339,0.0016335213421494726,0.06677585651960245,-0.020063186962759414,0.06944399034089553,0.012118467725808928,0.014993067964079903,0.061735089950172926,0.07750259662497085,-0.07747085778438818,-0.007481788331750966
Lactate,0.14473189473652745,-0.1711448722922602,-0.22680486422834073,-0.12540047441923186,-0.07588274340112093,-0.04266213162858835,0.1337196400519053,-0.29480276054292254,-0.4478992786964991,-0.4060013365039834,0.0056135614518897075,-0.3697644478100154,-0.10349625176689085,-0.03848069700512182,0.31187006529604555,0.04038713896898012,0.1264480603660943,-0.03233816131134545,-0.019519959360177714,0.11315833218411676,-0.006510024070482859,0.2534033932843823,1.0,0.061051726939160916,0.36141154683046056,0.09689912229124922,0.07991044933969847,0.15889834971497876,-0.06196147863921135,-0.07585064555224667,0.3285140351930781,0.09883674768288969,-0.23005648498365025,-0.18206264160880808
Magnesium,-0.06452659001993127,-0.02457801732151936,-0.04812000065080629,-0.02683959564020923,-0.0410716213947369,-0.04364492728046902,-0.005325094641737961,0.0436361848972105,-0.004635845990817346,0.026927106291419832,-0.007035870893941906,-0.018696134636391238,0.006347591491436263,-0.03687318384919441,0.02582765835597487,0.22540776970422255,0.017070881365329072,0.06278228922370807,-0.024386354751214312,0.11803978209801046,0.10393007397018032,-0.00461756542473339,0.061051726939160916,1.0,0.13387753770022387,0.16253827774227564,0.0899987733690613,0.010370681316376392,0.002799596219447453,-0.006855232715448177,0.028968483524977755,0.03883291930989332,0.04981321448228016,-0.0062825544807727975
Phosphate,-0.046568693772432314,-0.048736040632929425,-0.151926476744089,-0.026841878804873525,-0.033638342434630354,-0.02927731951718817,-0.03233672224732334,0.023024763175297683,-0.32060016647265227,-0.13802550653667586,0.12161907225402224,-0.39579846640942384,0.09620516196336239,-0.04389237128566179,0.14890902626275812,0.5341148043948485,0.08433946305966981,0.07900459711608235,-0.21934859684246596,0.5486153292507021,0.14870131935799033,0.0016335213421494726,0.36141154683046056,0.13387753770022387,1.0,0.3790608117095061,0.12026472501147743,0.029837766677983157,-0.05269777456833693,-0.07725367566816704,0.10921873978639439,0.04080136304962639,-0.06344525926324325,0.007193938363680225
Potassium,0.011283449261136162,-0.02314880151277156,0.0533080127849256,-0.0953444874446185,-0.09638297174362073,-0.09466885171237235,0.009578469187259601,-0.04281651404221962,-0.2326390790946005,-0.15525597864786234,-0.006910513384363414,-0.2724700987297672,0.08570559943903588,-0.02572596660878943,0.06405923106631688,0.2609171961540052,0.05162116096021422,-0.036385591977860544,-0.036396940320115596,0.2677029732110247,0.06756191575153288,0.06677585651960245,0.09689912229124922,0.16253827774227564,0.3790608117095061,1.0,0.0028392879974906563,0.03354201309517286,-0.04877565219718266,-0.05667393621268487,0.03664386790274314,0.08138895949970552,-0.0279301398664799,-0.02024178108416444
Bilirubin_total,0.020793547348699724,-0.01695248650024171,-0.025179822558060082,-0.02964447525971952,-0.03873980457508998,-0.029196647021241334,0.012378833327110083,-0.12620704687660134,0.043624880566221845,-0.08749644461768528,-0.028165135102079346,0.08126402685773186,-0.06978841954105762,0.04928462267488853,0.17755950921416874,0.15318883230653355,0.1786600623307138,0.06105397871646359,-0.13784870543796823,0.04011870868340161,0.9639869113540409,-0.020063186962759414,0.07991044933969847,0.0899987733690613,0.12026472501147743,0.0028392879974906563,1.0,0.026845377928309044,-0.09775000846668389,-0.049892469285030154,0.05471036472289691,0.008740480124771783,-0.23227151371329507,-0.23258955209209958
TroponinI,0.004661136421343499,-0.0031445633647939355,0.01446468549698101,-0.10451535813110825,-0.05102356606688519,-0.012078555009108252,0.011235120590090545,-0.008237726754523772,0.022170824715783945,-0.10388793433726594,0.12114261540298293,-0.00741625085349839,-0.06542463565671328,-0.05257526098142681,0.11977805678142744,-0.024079075505129496,-0.055504096159616205,-0.007545804184236688,0.06346955046361473,-0.036462847035999835,0.03643055891068711,0.06944399034089553,0.15889834971497876,0.010370681316376392,0.029837766677983157,0.03354201309517286,0.026845377928309044,1.0,0.0940131593495493,0.10970047948778333,0.15021072471427174,0.06013202625185657,-0.016865968682108098,0.0005148019234871115
Hct,-0.08078049523336074,-0.11892824559690085,-0.04278056205239404,0.09449553867607083,0.17781270514226502,0.23644701303428098,0.019695258226481986,0.10206558401700182,-0.049356257225693825,0.048257742525423065,0.020233879771810615,-0.0848236104090648,0.057234713531430614,-0.05177675447094049,-0.030908416943535227,-0.1402679854091704,-0.06838074839701686,0.21652057782264963,-0.07951206658505483,-0.10064873265034817,-0.15168401992993186,0.012118467725808928,-0.06196147863921135,0.002799596219447453,-0.05269777456833693,-0.04877565219718266,-0.09775000846668389,0.0940131593495493,1.0,0.9522081538794473,-0.01824456877486884,0.02271325846184134,0.1199442743899374,0.13773553776267633
Hgb,-0.08051893749825213,-0.10211340129214637,-0.03483132743740312,0.07569902057407629,0.1493658371790951,0.20868821638475338,0.002802442084912706,0.07007220213793708,-0.03330201885739816,0.02637096908304869,0.007899329004877047,-0.03998123147630505,0.033587439695734626,-0.052713613526454414,0.0056610672585904265,-0.1654984243815604,-0.08430628178874468,0.20158872666134756,-0.059902409818135986,-0.13418157162713001,-0.0694225506383015,0.014993067964079903,-0.07585064555224667,-0.006855232715448177,-0.07725367566816704,-0.05667393621268487,-0.049892469285030154,0.10970047948778333,0.9522081538794473,1.0,-0.03937865944394306,0.02263347220819311,0.0782063135520361,0.07827840077399566
PTT,0.010539354820553399,-0.07253081698465164,-0.11390361786821174,-0.10224264169846128,-0.06675271556499426,-0.04617036855946078,0.05992207804834028,-0.1804183678195681,-0.2313711207724437,-0.13094307156187523,0.06808130687974547,-0.20133916327968945,-0.03516332492825535,-0.08996884584173447,0.07748129165458334,0.07901849627389183,0.00041460614992878844,-0.020751804867398763,-0.027302965715395717,0.07271964756728355,0.114510858081169,0.061735089950172926,0.3285140351930781,0.028968483524977755,0.10921873978639439,0.03664386790274314,0.05471036472289691,0.15021072471427174,-0.01824456877486884,-0.03937865944394306,1.0,0.0009453729209732034,-0.09745525083952543,-0.03764516807996446
WBC,0.1323489061502228,-0.02661833714235318,0.0371582509801988,-0.038851352103765516,-0.045214148084799836,-0.052250181295276366,0.043930139674998696,-0.023125114234348106,-0.16571022598690663,-0.11726374966251564,0.10199899070461022,-0.1457879806337525,-0.0016280753916369797,-0.03944394172046398,0.02542419859485752,0.023408789419425955,0.07056590026327027,-0.06725186189167456,0.015001331881727146,-0.03530471417361241,0.010572570272384898,0.07750259662497085,0.09883674768288969,0.03883291930989332,0.04080136304962639,0.08138895949970552,0.008740480124771783,0.06013202625185657,0.02271325846184134,0.02263347220819311,0.0009453729209732034,1.0,0.0357272643097446,0.15253265855463846
Fibrinogen,0.07518476555240902,-0.07444941625368631,0.2556901798970974,0.04951440905999111,0.04865315615138785,0.043012199207584305,0.1121861629961855,0.16781155301951967,0.12376607250052299,0.0983052478947305,-0.13852535628797738,0.13513531444331023,0.00909041619806671,0.013542113156658729,-0.20160465191662885,0.077448063778425,0.08925927207940755,0.07280695856529702,-0.12769104552120084,0.06970195098366042,-0.18282985179393033,-0.07747085778438818,-0.23005648498365025,0.04981321448228016,-0.06344525926324325,-0.0279301398664799,-0.23227151371329507,-0.016865968682108098,0.1199442743899374,0.0782063135520361,-0.09745525083952543,0.0357272643097446,1.0,0.3386361573716259
Platelets,0.026031932809207743,-0.02411927282787859,0.00045833724027726733,0.026491454554655722,0.04508591971401244,0.08719031051662927,0.06627094553164034,0.17653215652493917,0.07922120593272418,0.09284226795173303,-0.05647383759403682,0.015372391122401281,0.08201078622879111,-0.009540011354338507,-0.14599991491851702,-0.06768974771027554,0.06965253226904865,0.11351301482617672,-0.148254428668144,-0.04988198947235272,-0.23365522271307249,-0.007481788331750966,-0.18206264160880808,-0.0062825544807727975,0.007193938363680225,-0.02024178108416444,-0.23258955209209958,0.0005148019234871115,0.13773553776267633,0.07827840077399566,-0.03764516807996446,0.15253265855463846,0.3386361573716259,1.0
